score,gt_classification,fen,classic_reg_score,classic_reg_classification,classic_score,classic_classification,gemini_direct_score,gemini_direct_classification,gemini_feature_material,gemini_feature_pawn_structure,gemini_feature_mobility,gemini_feature_king_safety,gemini_feature_tempo,gemini_feature_total
-0.2,equal,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/1P3N2/P1P1PPPP/RNBQKB1R b KQkq - 0 3,0.0036,equal,0.1,equal,15.0,white,0.0,0.1,0.05,0.0,-0.05,0.1
2.1,white,r1bq1rk1/pp4pp/2n1pp2/3p2Bn/2PP4/P2B1N2/1P3PPP/2RQ1RK1 w - - 0 14,0.0252,equal,0.7000000000000001,equal,35.0,white,0.3,0.1,0.2,0.1,0.1,0.8
-12.15,black,r2q1rk1/pp2p3/3p2p1/7p/7P/N4Pb1/PPPKP3/R1B2B2 b - - 2 16,-6.1776,black,-9.6,black,30.0,white,-0.25,0.25,0.5,0.25,0.25,0.25
9.88,white,8/6Rp/1k3p2/1pp5/8/2P1B1P1/PP1K1P1P/5r2 b - - 0 29,3.8754,white,6.4,white,-25.0,black,0.1,-0.2,-0.15,0.0,-0.05,-0.3
9.64,white,r1b1k1nr/ppbp4/4p3/1np1P3/4NP2/2PP4/PP3K2/R1BQ3B w kq - 1 19,1.5516,equal,2.6,white,30.0,white,0.3,0.1,0.2,0.1,0.1,0.4
2.36,white,3b2rr/2k5/B1p5/2B1pNpp/6n1/8/PP3PPP/3R2K1 w - - 0 26,-0.6534,equal,2.1,white,150.0,white,1.5,0.25,0.5,0.25,0.25,2.75
7.91,white,r1bqkb1r/2p2ppp/ppnp1n2/3Pp3/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 7,0.0324,equal,0.9,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
9.18,white,rnbk2nr/pp3ppp/4p3/3p4/1b1N4/2N5/PPP1PPPP/R2QKB1R w KQ - 1 7,4.5756,white,5.6,white,25.0,white,0.3,0.1,0.4,0.0,0.2,1.0
1.0,equal,rnbqk2r/pp2bppp/3p1n2/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 7,0.0252,equal,0.7000000000000001,equal,25.0,white,0.1,-0.1,0.2,0.0,0.1,0.2
0.42,equal,8/6k1/6b1/6P1/5K2/8/8/8 w - - 1 66,-1.5624,equal,-2.9,black,50.0,white,1.5,0.25,0.5,-0.25,0.0,1.0
0.06,equal,8/5k2/pB3Pp1/Pb4P1/1P6/4K3/8/8 w - - 77 103,1.5264,equal,1.9,equal,25.0,white,0.25,-0.25,-0.5,-0.75,-0.25,-0.5
-0.44,equal,r2qkbnr/ppp2ppp/2bp4/3Pp3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 6,0.0216,equal,0.6000000000000001,equal,25.0,white,0.0,-0.2,-0.1,0.0,-0.2,-0.3
-0.66,equal,8/8/4p3/4Pk1p/3KB1p1/8/8/8 b - - 7 66,0.8154,equal,2.4000000000000004,white,25.0,white,0.25,-0.25,-0.25,-0.25,-0.25,-0.25
7.29,white,8/6K1/3k1RP1/8/8/6r1/8/8 b - - 4 65,0.7974,equal,1.9,equal,250.0,white,5.0,0.25,1.0,1.5,0.5,4.0
17.41,white,3R2k1/pp3p1p/4p1p1/2R5/2p5/7P/PPP2PP1/6K1 b - - 0 20,7.0146,white,12.6,white,-150.0,black,-0.5,-0.25,-0.75,-1.0,-0.5,-2.0
-3.77,black,6rk/4b1pp/pq1pQp2/4nPPN/1p2P2P/8/PP4B1/2R4K b - - 0 29,0.0072,equal,0.2,equal,-150.0,black,-0.25,-0.1,-0.5,-1.0,-0.75,-2.6
1.69,equal,r1b1kb1r/ppq2p1p/4pnp1/n3N3/P1p5/N1P5/1PBP1PPP/R1BQR1K1 b kq - 0 11,0.0144,equal,0.4,equal,-25.0,black,0.1,0.2,0.1,0.0,0.0,0.2
-0.56,equal,2QR1n1r/6k1/1q3p1p/5p2/8/8/PrP2PPP/5RK1 w - - 10 32,-0.765,equal,-1.0,equal,250.0,white,2.0,0.25,0.75,0.0,0.25,1.5
8.51,white,r2qkbnr/ppp2ppp/8/4nb2/3P4/4BN2/PP2PPPP/RN1QKB1R w KQkq - 0 7,0.6966,equal,-0.9000000000000001,equal,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
-1.77,equal,3rr1k1/pb2qpbp/1pp2np1/3pn3/5N2/PP1PP3/1BPQ1NPP/R3RBK1 b - - 10 20,0.0072,equal,0.2,equal,30.0,white,0.25,-0.1,-0.3,0.0,-0.2,-0.35
8.41,white,2kr2nr/ppp1bppp/8/2Pp4/3Q4/5N1q/PP2BP2/RNB2RK1 w - - 1 13,2.3094,white,3.4,white,250.0,white,1.75,0.25,0.5,-0.25,0.25,2.5
0.81,equal,r1bqr1k1/ppp2pbp/2np1np1/8/3PP3/3B1N2/PP1N1PPP/R1BQR1K1 w - - 1 10,-0.0108,equal,-0.30000000000000004,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
4.21,white,4r3/p5kp/6p1/6P1/3N1p2/4p2P/Pr3P2/3RR1K1 w - - 0 29,1.4976,equal,1.1,equal,150.0,white,1.5,0.25,0.75,0.5,0.25,1.25
-0.33,equal,r2qk1nr/ppp2p2/2n1bN2/4P2p/2B3p1/8/PP3PPP/R1BQR1K1 b kq - 2 14,0.1656,equal,4.6000000000000005,white,25.0,white,0.1,-0.2,-0.1,0.0,-0.1,-0.2
9.12,white,3rr3/p1pk2pp/Q1pb2q1/5p2/3P4/2P1BN2/P4PPP/R3R1K1 w - - 2 21,2.3129999999999997,white,3.5,white,250.0,white,1.5,0.25,0.75,-0.25,0.5,2.75
1.99,equal,r1b1kbnr/ppp3pp/4qp2/8/3p4/2NPB3/PPP1QPPP/R3KB1R w KQkq - 0 9,-0.0324,equal,-0.9,equal,35.0,white,0.25,0.1,0.3,0.0,0.15,0.8
5.04,white,3k1b1r/1pp2p2/p2p4/5q2/3P4/6Q1/PP3PPP/R4RK1 b - - 0 22,2.2626,white,2.1,white,-150.0,black,0.1,-0.3,0.6,-0.7,0.5,0.2
3.4,white,rnbqk2r/pppp1ppp/8/8/1b1Nn3/8/PPP1QPPP/RNB1KB1R w KQkq - 2 6,-0.8658,equal,-3.8000000000000003,black,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
-49.93,black,3r2k1/1p5p/4nnp1/p7/6P1/2N2P2/PP5q/R1K5 b - - 3 30,-9.316799999999999,black,-15.8,black,-150.0,black,-2.0,-0.25,0.5,-1.0,0.25,-2.5
4.27,white,rn1qk2r/pp3ppp/2pbp3/3p4/3Pn1bN/4P1P1/PPP2PBP/RNBQ1RK1 w kq - 2 8,-0.0828,equal,-2.3000000000000003,black,25.0,white,0.3,0.1,0.2,0.0,0.1,0.7
0.49,equal,rn1qkbnr/pb1p1ppp/1p2p3/8/3pPP2/2N2N2/PPP3PP/R1BQKB1R w KQkq - 0 6,-0.7614,equal,-0.9,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
20.29,white,Q2nk2r/p3p1bp/1p2bpp1/8/5B2/N7/PP3PPP/R2R2K1 w k - 0 19,7.722,white,12.0,white,45.0,white,0.75,0.25,0.5,-0.25,0.25,0.5
-0.09,equal,4rrk1/p2q1ppp/2p5/3p4/3P1N2/5QPb/PPP2R1P/R5K1 w - - 5 19,0.0108,equal,0.30000000000000004,equal,250.0,white,1.5,0.25,0.75,0.5,0.5,3.5
1.62,equal,rnb1k1nr/pppp1ppp/4p1q1/8/1b1P4/2N1PN2/PPP2PPP/R1BQKB1R w KQkq - 5 5,-0.0432,equal,-1.2000000000000002,equal,25.0,white,0.3,0.1,0.2,0.0,0.1,0.7
49.95,white,Q4R2/2p3p1/pkq4p/P1p5/3P4/4P2P/1P4P1/R5K1 b - - 0 28,8.562600000000002,white,15.100000000000001,white,-25.0,black,-0.2,-0.1,-0.15,0.0,-0.05,-0.5
4.59,white,4b1k1/5npp/4R3/3p4/2pP2Nr/1pP4P/1P3PP1/1B4K1 b - - 0 30,0.8082,equal,2.2,white,-75.0,black,-0.2,-0.1,-0.15,0.0,-0.1,-0.35
-5.14,black,2r3k1/1pq1b2p/6p1/p2p1p2/bP1PpP2/P1r1P2P/R1NQ2P1/2RB2K1 w - - 0 28,-0.0828,equal,-2.3000000000000003,black,35.0,white,0.3,0.1,0.4,0.1,0.2,0.5
0.67,equal,rnb1kbnr/pppp1ppp/5q2/4p3/1P6/5N2/PBPPPPPP/RN1QKB1R b KQkq - 3 3,-0.036,equal,-1.0,equal,-25.0,black,0.1,0.05,-0.2,0.0,-0.1,-0.15
8.67,white,5rk1/5pp1/P3pn1p/3p4/5B2/P4n1P/5PP1/R4RK1 w - - 0 23,1.4436,equal,-0.40000000000000036,equal,150.0,white,1.5,0.25,0.5,-0.25,0.25,1.25
0.87,equal,r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2N3P1/PP2NPBP/R1BQK2R w KQ - 1 9,0.0216,equal,0.6000000000000001,equal,35.0,white,0.25,0.1,0.3,0.0,0.15,0.8
9.24,white,1k1r3r/1p3p1p/p5p1/q1P2Q2/b3PB2/P6P/3N1PP1/R3KB1R b KQ - 10 22,5.4774,white,10.4,white,-150.0,black,-1.5,-0.25,-0.5,0.25,-0.5,-1.5
-0.23,equal,r1bq1rk1/pp4bp/3pNnp1/8/2Q1P3/8/PP3PPP/RNB1K2R b KQ - 0 13,0.8406,equal,3.1,white,25.0,white,0.0,-0.2,0.3,0.0,0.1,0.0
2.59,white,r1bqkb1r/pp1ppp1p/5np1/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq - 0 7,0.0864,equal,2.4000000000000004,white,25.0,white,0.25,0.1,0.2,0.0,0.15,0.7
-1.18,equal,rnbqk2r/1p3ppp/p1pb1n2/3p4/2PPp3/1PN1P1P1/PBQ2P1P/R3KBNR b KQkq - 0 8,0.0,equal,0.0,equal,-25.0,black,0.25,-0.1,0.15,0.0,0.05,0.35
1.71,equal,rnbq1rk1/pp1p1ppp/4p3/8/2PpnB2/P3PN2/1P3PPP/R2QKB1R w KQ - 0 9,-0.7542,equal,-0.7,equal,25.0,white,0.25,0.1,0.2,0.0,0.15,0.7
-2.69,black,7r/bpp2pk1/p2p2n1/3Pp3/5PPq/1P1QP3/PB1P4/2K3R1 w - - 3 22,-1.5696,equal,-3.1,black,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.4
1.16,equal,rnb1k1nr/pppp1p2/5q2/4p1pp/2B1P3/3PPN1P/PPP3P1/RN1Q1RK1 b kq - 1 8,0.0072,equal,0.2,equal,-25.0,black,0.1,0.2,-0.3,0.0,-0.1,-0.1
49.97,white,2r1r3/2q3pp/p5k1/1p1R2N1/5P2/6P1/PP2Q1P1/1K5R w - - 1 23,3.1212,white,5.7,white,250.0,white,1.5,0.25,0.75,0.5,0.5,1.25
49.99,white,5b1r/pQ3p1p/5k2/5Pp1/1p2KNP1/6q1/PP6/R1B5 w - - 3 25,1.5372000000000001,equal,2.2,white,150.0,white,2.5,0.25,0.75,-0.5,0.25,2.25
7.05,white,2r4k/p6p/3p1qp1/1pp5/2n1P3/5P2/PB3P1P/2R1R1K1 w - - 0 28,-3.8394000000000004,black,-5.4,black,35.0,white,0.3,-0.1,0.4,-0.2,0.1,0.5
0.0,equal,4r1k1/p4pp1/7p/2PR1b2/1r6/2N4P/P4PP1/R5K1 b - - 0 30,0.7110000000000001,equal,-0.5,equal,75.0,white,0.25,-0.25,0.75,0.5,0.5,0.75
-20.5,black,5rk1/ppp4p/6p1/1Pp2b2/2P5/2KB4/P2R1q1P/6R1 b - - 2 28,-4.6116,black,-6.6,black,-150.0,black,0.5,-0.2,1.0,-0.3,0.5,1.5
2.9,white,r1q3k1/1bp4p/3prp2/p4B2/PnPP4/8/3Q2PP/R1R3K1 w - - 1 28,-2.277,black,-2.5,black,150.0,white,0.75,0.25,0.5,0.25,0.25,0.5
-6.72,black,2kr3r/p1p1ppb1/1p1p2p1/3P1qBp/3PQ3/5P2/PP3P1P/1K1RR3 b - - 2 18,-0.7938000000000001,equal,-1.8,equal,25.0,white,-0.25,0.1,0.4,0.2,0.15,0.2
0.56,equal,r2qkb1r/pbpn1pp1/1p2p2p/8/4n3/3P2P1/PPPN1PBP/R1BQ1RK1 w kq - 0 10,-2.3418,black,-4.3,black,35.0,white,0.3,0.1,0.4,0.2,0.1,1.1
1.07,equal,k3R3/p1p5/3b3p/8/8/P1N1p2P/KPP3P1/4r3 b - - 5 29,0.855,equal,3.5,white,-75.0,black,-1.5,0.25,0.25,-0.5,0.1,-1.4
0.49,equal,1k4r1/p1q5/Ppn1p3/2p1np2/B2pQ2p/2PP4/1P3PP1/R3R1K1 w - - 0 26,0.7614,equal,0.9,equal,250.0,white,2.0,0.25,0.75,-0.25,0.5,1.75
-4.28,black,rn3rk1/pbpp1pp1/8/7p/3P1Pq1/2N1B1n1/PPP2QB1/R3K3 w Q - 0 15,-4.6152,black,-6.7,black,35.0,white,0.3,-0.1,0.2,0.0,0.1,0.5
-0.01,equal,rnbqk2r/ppp2pp1/4pn1p/3pP3/3P4/2B5/PPP2PPP/R2QKBNR b KQkq - 0 7,0.018,equal,0.5,equal,-25.0,black,0.0,0.1,-0.2,0.0,-0.1,-0.2
14.99,white,r1q3k1/pp3ppp/2p5/2B5/8/PN1P2P1/2P1QPbP/R5KB w - - 3 26,4.6404,white,7.4,white,35.0,white,0.75,0.25,0.5,-0.25,0.3,0.5
13.82,white,8/8/8/8/3R2kp/1r3N2/5PPP/5RK1 b - - 1 37,7.736400000000001,white,12.4,white,-25.0,black,0.25,0.25,-0.25,-0.25,-0.1,0.0
-0.97,equal,r2q1rk1/pbpnppbp/1p3np1/3P4/4P3/2NBB3/PPPQ2PP/2KR2NR b - - 0 10,0.0144,equal,0.4,equal,-25.0,black,-0.2,0.1,0.4,0.2,0.1,0.2
7.87,white,3r2k1/5pp1/P5p1/6P1/5p2/P2r3Q/1P5P/4R2K w - - 1 33,3.8574,white,5.9,white,250.0,white,2.0,-0.5,0.75,-1.0,0.25,1.5
49.99,white,8/5Q1k/6R1/6PK/6P1/8/8/8 b - - 2 55,12.348,white,19.0,white,250.0,white,2.0,0.25,0.5,0.75,0.0,1.5
-49.97,black,r4rk1/ppq2ppp/3p4/5b2/2P2B2/3pKP2/1b4PP/1R6 b - - 1 24,-15.3864,black,-22.4,black,25.0,white,-0.25,0.25,0.5,0.25,0.25,0.25
6.28,white,4r3/8/3RP1kp/p2P2p1/8/P7/3r2P1/5RK1 b - - 0 38,0.7578,equal,0.8,equal,150.0,white,1.0,0.25,0.5,-0.25,0.0,0.5
0.56,equal,r1bq1rk1/pp2bppp/2np1n2/2p5/2P1PB2/2NP1N2/PP2B1PP/R2QK2R w KQ - 5 9,0.036,equal,1.0,equal,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
0.16,equal,rnbqk2r/ppp1ppbp/6p1/8/2BPP3/2P5/P4PPP/R1BQK1NR b KQkq - 2 7,0.0252,equal,0.7000000000000001,equal,25.0,white,0.1,-0.1,0.2,0.0,0.1,0.2
6.57,white,r1bqk2r/1ppp1p1p/p5p1/8/2BQnP2/8/PPP3PP/R1B2RK1 b kq - 0 11,-0.7218,equal,0.20000000000000018,equal,-25.0,black,0.1,-0.2,-0.15,0.0,-0.05,-0.3
1.48,equal,8/pp4pk/5pqp/8/3Q4/1P1b2NP/r4PP1/4R1K1 w - - 0 31,-0.729,equal,0.0,equal,250.0,white,2.5,0.25,0.75,-0.5,0.25,2.25
-9.51,black,r3k1nr/p1p2p2/1p1bq2p/3pn1p1/3Q2P1/2P2PBN/PP2PK1P/RN6 w kq - 4 14,-3.8394000000000004,black,-5.4,black,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.8
0.0,equal,r2qk2r/pppn1pbp/3p1np1/8/3pP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq - 0 9,-0.7686000000000001,equal,-1.1,equal,30.0,white,0.3,0.1,0.4,0.0,0.2,1.0
20.31,white,2R2R2/1r4k1/r3p3/P3P1P1/2p1K3/2B5/8/8 w - - 0 41,3.096,white,5.0,white,150.0,white,1.5,0.25,0.5,0.25,0.25,0.95
10.73,white,rn2k1nr/p2pbppp/1pp1p3/4P3/3P1P2/2P2N2/PP5P/RNBQ1K1R b kq - 0 9,6.138,white,8.5,white,25.0,white,0.0,-0.2,-0.3,0.0,-0.2,-0.3
-7.1,black,r4rk1/pp2bppp/8/3Qn3/4N3/4BR2/PqP3PP/5R1K b - - 3 17,-0.7110000000000001,equal,0.5,equal,-25.0,black,-0.25,0.0,-0.25,-0.5,-0.25,-0.75
-19.26,black,r4rk1/pp6/3pp1p1/2p4p/5p2/1P1PqP2/P2Q3P/3K4 w - - 2 33,-9.999,black,-14.5,black,60.0,white,0.3,0.1,0.4,-0.2,0.1,0.7
7.02,white,r3k3/1bpp1p2/1pn1pqpr/p5N1/N3PP1p/1P6/P1PPB1PP/R2Q1RK1 w q - 1 14,2.2914,white,2.9,white,35.0,white,0.3,-0.1,0.4,0.0,0.2,0.8
0.22,equal,8/8/5p2/5Kb1/7k/8/7p/7R w - - 0 65,0.0108,equal,0.30000000000000004,equal,150.0,white,1.0,0.25,0.75,-0.5,0.5,2.0
2.12,white,r1b1k1nr/ppp2ppp/2p2q2/2b1N3/4P3/8/PPPP1PPP/RNBQK2R w KQkq - 1 6,0.7362,equal,0.19999999999999996,equal,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
3.56,white,1k1r1b1r/pp1bnppp/1q1p1n2/2pPpP2/2B1P3/P1N2N1P/1PPBQ1P1/R3K2R w KQ - 5 14,0.018,equal,0.5,equal,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.4
13.5,white,7r/3k4/1P1N4/8/p3P3/2K3B1/P6P/8 w - - 3 45,3.0816,white,4.6,white,250.0,white,1.0,0.25,0.5,-0.5,0.25,1.5
2.34,white,rnbq1b1r/ppppk1p1/5nQp/5P2/3Pp3/8/PPP2PPP/RNB1KBNR w KQ - 2 7,0.837,equal,3.0,white,30.0,white,0.3,0.1,0.2,-0.2,0.1,0.5
-4.37,black,r1b1kb1r/2pp2p1/p1nq1n1p/1p6/2BPp1PP/PP2P3/2P2P2/RNBQK2R w KQkq - 0 12,-1.548,equal,-2.5,black,25.0,white,0.25,-0.1,0.3,0.0,0.15,0.6
0.33,equal,rnbq1rk1/ppp2ppp/1b1p1n2/5N2/1P2PP2/P1N5/2P1B1PP/R1BQK2R w KQ - 4 11,0.036,equal,1.0,equal,25.0,white,0.25,-0.1,0.3,0.0,0.15,0.6
5.78,white,rn3rk1/ppbb1ppp/4pq2/2pp4/8/3P1NP1/PPPN1PBP/R1BQ1RK1 w - - 0 10,1.4724,equal,0.3999999999999999,equal,35.0,white,0.25,-0.1,0.3,0.15,0.2,0.3
3.59,white,rn3b1r/7p/2p1kn2/pp2p1p1/4P3/P1N2P2/1PP1N1PP/R1B1K2R w KQ - 0 14,0.7722,equal,1.2,equal,30.0,white,0.3,-0.1,0.4,-0.2,0.1,0.5
49.97,white,8/p1krR3/1p4Q1/1Pp5/8/2b3P1/P4P1P/6K1 w - - 3 38,6.1956,white,10.1,white,250.0,white,1.5,0.25,0.5,-0.25,0.0,1.0
-0.17,equal,r2q1rk1/pb2bppp/1p6/2ppP3/4nP2/2N1P3/PP1BB1PP/2RQ1RK1 b - - 0 13,-0.0036,equal,-0.1,equal,25.0,white,0.1,-0.1,-0.2,0.0,-0.1,-0.2
4.11,white,rnb1k2r/ppq1bp2/3p3p/3Pp1p1/1PP1N3/3BPN2/P5PP/R2Q1RK1 b kq - 0 13,0.0216,equal,0.6000000000000001,equal,25.0,white,-0.25,-0.15,0.2,-0.1,0.0,-0.3
2.81,white,r4b2/p4qpk/2n2p1B/1pp1p3/3pP2P/3P4/PPP3Q1/R5RK w - - 1 26,0.7686000000000001,equal,1.1,equal,150.0,white,1.5,0.25,0.75,-0.25,0.25,2.5
-4.07,black,r2q1r2/p3p1kp/1pp2np1/8/8/2NP1N2/PPPQ1P2/R3K3 w Q - 0 18,-2.3022,black,-3.2,black,30.0,white,0.3,-0.1,0.2,0.0,0.1,0.5
-0.28,equal,r2r2k1/pb3pp1/1p1b3p/3N4/1PB5/P5P1/5P1P/2RR2K1 w - - 2 23,0.0072,equal,0.2,equal,150.0,white,1.5,0.25,0.5,0.25,0.25,2.75
0.18,equal,rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,0.0036,equal,0.1,equal,25.0,white,0.1,-0.2,-0.1,0.0,-0.1,-0.2
0.14,equal,rn1qkb1r/pp2pppp/2p2n2/3p1b2/3P1B2/5N1P/PPPNPPP1/R2QKB1R b KQkq - 0 5,0.0,equal,0.0,equal,25.0,white,0.1,-0.1,0.2,0.0,0.1,0.2
-8.95,black,r5k1/p3b2p/n2p1n1N/2pPp2p/q7/P2P2r1/1P2BPPP/R4RK1 b - - 2 20,-8.328600000000002,black,-8.6,black,25.0,white,-0.25,0.1,0.5,0.0,0.3,0.65
-1.12,equal,rn1qk2r/pp2bpp1/2p1p1bn/3pP1N1/2PP3P/8/PP3PP1/RNBQKB1R b KQkq - 2 9,0.765,equal,1.0,equal,-25.0,black,0.0,0.2,-0.3,0.0,-0.1,-0.2
-9.8,black,r2q1rk1/ppp1bppp/3p1n2/5P2/6P1/8/PPP2P1P/RNB1KB1R w KQ - 1 11,-4.572,black,-5.5,black,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
-0.11,equal,r2q1rk1/1b2bppp/p1n1pn2/1p4B1/3P4/P1N2N2/1PB2PPP/R2Q1RK1 w - - 2 13,0.0252,equal,0.7000000000000001,equal,35.0,white,0.3,0.1,0.2,0.0,0.1,0.7
-5.33,black,4r3/2k4p/p7/P4N2/4p1P1/1pPR4/1P5P/3K4 b - - 0 39,3.0888,white,4.8,white,-25.0,black,0.4,-0.2,-0.3,-0.5,-0.1,-0.7
1.57,equal,r1b1kbnr/pp1p1ppp/3P2n1/q7/2B5/8/PP1B1PPP/RN1QK1NR b KQkq - 4 9,0.0072,equal,0.2,equal,25.0,white,-0.3,0.1,0.4,0.2,0.1,0.1
49.97,white,8/3P4/R7/2p2k1p/1pP3p1/1P1K2b1/P6P/8 w - - 0 41,2.3382,white,4.2,white,250.0,white,1.5,0.2,0.3,0.1,0.2,0.66
0.88,equal,r2q1rk1/pp2bppp/2n2n2/2ppp2b/4P1P1/3P1N1P/PPPN1PB1/R1BQR1K1 b - - 0 10,-0.0108,equal,-0.30000000000000004,equal,-25.0,black,0.1,-0.15,-0.2,0.0,-0.1,-0.25
49.97,white,5r2/1p2Qk2/2p3p1/3NP2p/1pPP4/1P6/P5PP/6K1 b - - 1 34,6.9966,white,12.1,white,-150.0,black,-2.5,0.2,0.3,-0.1,-0.2,-2.3
1.19,equal,2rqk1r1/pp1nbp2/2n1p2p/2p3P1/3pPP2/1P1P1Q1P/PBP3B1/RN3RK1 w - - 0 16,0.7542,equal,0.7,equal,35.0,white,0.3,-0.1,0.4,0.0,0.2,0.8
49.85,white,k6r/p1q1b1p1/2Pp3p/Q4p2/8/8/PPP2PPP/R5K1 w - - 0 26,-0.7398,equal,-0.29999999999999993,equal,75.0,white,1.5,0.25,0.5,-0.5,0.0,0.75
12.71,white,7r/4k3/4p1N1/1p1p1p2/p2P1Pp1/P1PK3P/1P6/7R b - - 2 48,2.3526,white,4.6,white,25.0,white,0.25,-0.25,-0.25,0.0,-0.25,-0.25
-0.11,equal,r1bqk2r/pp2B1pp/2np4/4p3/4n2Q/5P2/PPP3PP/2KR1BNR b kq - 0 11,0.0216,equal,0.6000000000000001,equal,-25.0,black,0.1,-0.1,-0.2,-0.3,0.0,-0.2
1.55,equal,rnbq1rk1/3pb1pp/p1n1pp2/1p6/3PP3/PP1B1N2/1B1N1PPP/R2Q1RK1 b - - 1 11,0.0072,equal,0.2,equal,-25.0,black,0.1,-0.1,0.2,0.0,-0.1,0.1
-4.71,black,r1bqk2r/pp2bppp/4pn2/8/3PB3/2P2N2/PP3PPP/R2QR1K1 w kq - 1 14,-1.5156,equal,-1.6,equal,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
-65.08,black,2r3k1/2p5/1p1p4/3P2q1/p1P5/7P/6PK/8 w - - 0 37,-10.803600000000001,black,-16.6,black,250.0,white,2.0,0.5,1.0,0.75,0.5,4.75
0.4,equal,r3k2r/1bqpb1pp/p4p2/2p5/2Pp4/1P1B3P/PB1PQPP1/R4RK1 b kq - 2 15,0.0036,equal,0.1,equal,25.0,white,-0.25,0.25,0.5,0.25,0.5,0.25
-6.37,black,r3kbnr/p4p2/1pp3p1/4p2p/1n2P1Bq/2NP2P1/PPP1Q2P/R1BK1R2 b kq - 0 17,0.0144,equal,0.4,equal,30.0,white,-0.25,0.0,0.5,0.25,0.3,0.3
0.36,equal,rnbqkbnr/pp2pppp/8/2pp4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,0.0144,equal,0.4,equal,25.0,white,0.0,0.2,0.15,0.0,0.05,0.4
